FIPS,index,TimePeriod,Agri,Mini,Util,M4,M4I,unem,clusters
37009.0,15909,2005,-0.37438328269415244,-0.27493236576771984,0.05477742646119843,0.001973669474457651,0.011496162680330796,0.40000000000000036,2.0
37009.0,15910,2006,1.1195097062152382,0.00771836460888764,0.23111001519174756,0.007226338413068412,0.0012821277988412025,-0.06153846153846132,2.0
37009.0,15911,2007,-0.8037241563997934,0.6730414551815826,-0.2204119740947066,0.014530043488179878,-0.017333496612281098,-0.661538461538461,2.0
37009.0,15912,2008,-0.11140604770812423,-0.5145948547224535,0.2647068414989109,-0.05890014591566839,-0.012854928854692301,1.3538461538461535,2.0
37009.0,15913,2009,1.3775315144276288,-0.29556024002010783,-0.4077348793846882,-0.06693818803015361,-0.0017879443832881001,5.746153846153846,2.0
37009.0,15914,2010,-1.1148986506166754,0.4396994453684604,0.18467140639946855,0.061538727381233116,-0.0006530729079690998,-0.7999999999999989,2.0
37009.0,15915,2011,-0.17305170227409583,-0.5199966931855959,0.04343783927471456,0.017892626716609072,-7.893666998280008e-05,-0.7384615384615412,2.0
37009.0,15916,2012,0.47649951452423345,0.0037490880688100248,-0.35112019221877766,0.008794955780447644,-0.00022870450164149997,-0.2923076923076895,2.0
37009.0,15917,2013,-0.9047914404879425,1.0361431288094414,0.13441107575515865,-0.020354927367058906,-9.678671963660006e-05,-1.746153846153847,2.0
37009.0,15918,2014,-0.12222995522602353,-0.35806688018404564,0.10664780371525673,0.012412285030527492,1.6405704125300102e-05,-2.3000000000000007,2.0
37009.0,15919,2015,0.6077025294542988,-0.10787225906106102,-0.015408960454301734,0.015663399239893572,0.0007532810705194,-0.684615384615384,2.0
37009.0,15920,2016,0.2774276800647737,-0.0811893499498666,0.09914126848366855,-0.004745406047955036,0.0017009522509732998,-1.1461538461538465,2.0
37009.0,15921,2017,-0.0471916593789814,-0.04967043285656558,-0.024285905692201126,-0.0003083694217558275,0.0037311599478214,-0.6923076923076925,2.0
37011.0,15922,2005,0.39755543728772835,0.2712864216267805,0.04260391737275082,0.001973669474457651,0.011496162680330796,0.33076923076923137,3.0
37011.0,15923,2006,-1.179366649632426,-0.728683283982603,0.04923702973817079,0.007226338413068412,0.0012821277988412025,-0.48461538461538556,3.0
37011.0,15924,2007,1.504789533963697,-0.8181379741038222,-0.15468491629301795,0.014530043488179878,-0.017333496612281098,-0.16153846153846096,3.0
37011.0,15925,2014,-0.07490860689545009,-0.34390099683222886,0.09173686328585262,0.012412285030527492,1.6405704125300102e-05,-2.3384615384615373,3.0
37011.0,15926,2015,0.266292491077599,-0.001229629891719597,0.0033801915880626865,0.015663399239893572,0.0007532810705194,-0.49230769230769234,3.0
37011.0,15927,2016,0.43563746384089974,-0.12365783007818365,0.11265210775344059,-0.004745406047955036,0.0017009522509732998,-0.838461538461539,3.0
37011.0,15928,2017,0.25561391331473704,0.13135841398781878,-0.12042564982058934,-0.0003083694217558275,0.0037311599478214,-0.7692307692307692,3.0
37011.0,15929,2018,0.08673812195300812,-0.1724027707370599,0.07024738594705404,0.009627760401200725,0.0015969085417898007,-0.5615384615384618,3.0
37011.0,15930,2019,-0.3950859382910519,-0.7099761538049929,-0.07781848047017448,0.15565952540225947,-0.0064000313172928,-0.05384615384615321,3.0
37011.0,15931,2020,0.12951677537884088,0.4654181615557027,0.038305142194847264,-0.1106583506902945,-0.0015167434607625998,2.6461538461538456,3.0
37015.0,15932,2019,0.07011919945678358,0.0738802710745734,-0.031237977886158674,0.15565952540225947,-0.0064000313172928,-0.2846153846153845,1.0
37015.0,15933,2020,-0.323388142787433,-0.34993448814964,0.1654120987935075,-0.1106583506902945,-0.0015167434607625998,1.5999999999999996,1.0
37017.0,15934,2007,0.32076701466664304,-1.5578923026161222,-0.1865139596824541,0.014530043488179878,-0.017333496612281098,-0.20769230769230784,2.0
37019.0,15935,2016,0.3822027794607674,0.9189502162287404,0.06315848901988552,-0.004745406047955036,0.0017009522509732998,-0.7307692307692308,2.0
37019.0,15936,2017,0.19819418764979346,-0.04431326684212955,-0.1065678613061305,-0.0003083694217558275,0.0037311599478214,-0.7923076923076922,2.0
37019.0,15937,2018,-0.8256727680284488,-1.6473148415410384,-0.04296090278686471,0.009627760401200725,0.0015969085417898007,-0.3230769230769228,2.0
37019.0,15938,2019,0.9163863019286733,1.139123205518608,0.12067193864551662,0.15565952540225947,-0.0064000313172928,-0.14615384615384563,2.0
37019.0,15939,2020,0.01982872065853236,-0.6455337821813858,0.0375238153027766,-0.1106583506902945,-0.0015167434607625998,3.546153846153845,2.0
37021.0,15940,2003,3.8504864582365634,0.0900226395554995,-0.13397945178111037,-0.006913113032603668,0.0015305540585676012,-0.3076923076923084,2.0
37021.0,15941,2004,-1.4244817589601606,0.27093278426850453,0.11855924939434104,0.005551171130980137,0.0119438572061737,-0.39999999999999947,2.0
37021.0,15942,2005,-0.2954973351224712,-0.4109008664949023,-0.03762726635851088,0.001973669474457651,0.011496162680330796,0.07692307692307665,2.0
37021.0,15943,2006,0.33598286182222914,-0.009064653888808394,0.08888920274366541,0.007226338413068412,0.0012821277988412025,-0.615384615384615,2.0
37021.0,15944,2007,-1.778246242990587,0.2782453216212737,-0.005284836583694386,0.014530043488179878,-0.017333496612281098,-0.2076923076923074,2.0
37021.0,15945,2008,1.6731294715057334,-0.481068662199311,-0.00033420915110227156,-0.05890014591566839,-0.012854928854692301,0.8769230769230769,2.0
37021.0,15946,2013,0.4603694350234999,-0.11595733028208599,-0.4562222160288911,-0.020354927367058906,-9.678671963660006e-05,-1.6076923076923064,2.0
37021.0,15947,2014,0.3365065608513369,0.29139422985738506,0.3975238726762331,0.012412285030527492,1.6405704125300102e-05,-1.2538461538461547,2.0
37021.0,15948,2015,-0.04713849723096608,0.07106758236021982,-0.05054208109369007,0.015663399239893572,0.0007532810705194,-0.2615384615384615,2.0
37021.0,15949,2016,-0.25121312873285184,-0.3351224753443578,0.14145341709299508,-0.004745406047955036,0.0017009522509732998,-0.4384615384615387,2.0
37021.0,15950,2017,0.05090858633719186,-0.08265848339645743,-0.17601716519322963,-0.0003083694217558275,0.0037311599478214,-0.4230769230769229,2.0
37021.0,15951,2018,-0.019550273851207223,0.05353215072746309,0.09415503379300105,0.009627760401200725,0.0015969085417898007,-0.41538461538461524,2.0
