All,All,All,All,All,All,All,All,Agri,Agri,Agri,Agri,Agri,Agri,Agri,Agri,Mini,Mini,Mini,Mini,Mini,Mini,Mini,Mini,Natu,Natu,Natu,Natu,Natu,Natu,Natu,Natu
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
19.0,0.024781794974074862,0.06364024395783165,-0.10240333687449699,-0.005951526654691008,0.024089663745982648,0.06415657215297621,0.14924141224620868,19.0,0.01901206538344998,0.38062595167044105,-0.7117880382673025,-0.24301499809116756,0.11763575137737448,0.1997793076161587,0.7935377180801488,19.0,0.06677012853471541,0.2423899552755336,-0.4194513500829036,-0.11951741229534907,0.10417867799928793,0.25752713708119224,0.47057840991511846,19.0,0.031949169146515605,0.3155100202749655,-0.5829671641138994,-0.19836545726579757,0.07449848624746025,0.19032416261502405,0.7555058739799652
19.0,0.029246050909790523,0.04150571429877764,-0.04947434641183612,0.009950523030655134,0.030958314710554546,0.0467778059038233,0.11349382551276399,19.0,0.05501159174845187,0.5393167644475986,-1.0850696031237774,-0.11974351102212122,0.17668311090795363,0.46425401737671024,0.7136004969981631,19.0,0.0060023248944928225,0.1916496399497309,-0.34099142309730546,-0.12244108713031654,-0.04404071374968588,0.09944292384724651,0.4918782916241913,19.0,0.04442378762598035,0.3501580233419343,-0.7459479766867982,-0.1328853613427512,0.12131418932518478,0.27413488011370024,0.5404028246266623
19.0,-0.008841199392145688,0.048088660315958175,-0.0672703261161427,-0.03670247473203947,-0.017817569589809068,0.008346809268191535,0.12517500989298647,19.0,-0.04148643033425717,0.3117335711898831,-0.7260052653692917,-0.1410358146405093,0.0,0.05411900375209022,0.7062764257748242,19.0,-0.04283428535145782,0.19746094879890788,-0.5840961633660111,-0.12188936590528332,-0.0016341310689611532,0.08945146594473652,0.20588807325619207,19.0,-0.03979787351590241,0.2193090454752072,-0.5111820321366896,-0.10921342345051421,0.0,0.010202183755928296,0.45175791681153576
19.0,0.014916206373428989,0.03255545884844183,-0.03468740816014737,-0.005964277025052311,0.01279474356925725,0.033640032753536,0.07484926630515965,19.0,-0.0530876884237377,0.14975736174753002,-0.3264792158430243,-0.12961609266044682,-0.04326491596443205,0.015552945270846052,0.18715041964498447,19.0,-0.06308775131802175,0.7184587944827517,-2.131402678382079,-0.3021220608972852,-0.0033745372419247133,0.2891234963790388,0.9868377658568495,19.0,-0.053674852273982894,0.25056709505093866,-0.793954142793531,-0.139755524543693,-0.05009667028431686,0.08579528591186136,0.3753740328919548
19.0,0.00447096192357125,0.042069401229623674,-0.07922912144185545,-0.02342016239040401,0.0036845074291793622,0.02931145932351953,0.08405539051714506,19.0,-0.06785491324995263,0.7689562342063183,-1.6273533113347725,-0.34391474204302774,0.0,0.23274072733020912,2.1364957347235496,19.0,-0.09878182998709815,0.6280620093372263,-1.3465662728968333,-0.3982008429756436,-0.038762484822587595,0.1308414999892662,1.3897020723283067,19.0,-0.06576514935507455,0.5049689604259521,-1.0728025746818037,-0.32918877138939084,0.0,0.1347460435251122,1.029666825712333
19.0,0.006992439741929283,0.03728521423108611,-0.0558150758575362,-0.02324824168552997,0.010262859854876183,0.03182923981882624,0.0817109063544379,19.0,-0.04010729832403732,0.6422810548492172,-1.457653975174205,-0.41560560692844994,0.014325107944296533,0.2560501984312644,1.232337887475472,19.0,-0.09151189900363958,0.21024586102664003,-0.3797542569823298,-0.26838748945436164,-0.10015870310178876,0.022329878632493916,0.3535565087629635,19.0,-0.04664104749466871,0.5407230612350844,-1.2394156155918186,-0.37664559003035514,0.01041843284754762,0.25282760579252095,1.0134579701018929
3.0,0.005880662112451418,0.02211716165075174,-0.019554961822981554,-0.001470793082643418,0.016613375657694718,0.018598474080167904,0.02058357250264109,3.0,0.1385967814960587,0.23386369112592917,-0.13045189141182156,0.061311705358639834,0.25307530212910123,0.2731211179499988,0.2931669337708964,3.0,0.18089778753800445,0.24540343617655197,0.0013847221229470463,0.041079881154079345,0.08077504018521164,0.27065432024553315,0.46053360030585466,3.0,0.1360252611725906,0.21808659545117462,-0.11516617767101422,0.06549906230887093,0.24616430228875608,0.261620980594393,0.2770776589000299
1.0,-0.08765770758627589,,-0.08765770758627589,-0.08765770758627589,-0.08765770758627589,-0.08765770758627589,-0.08765770758627589,1.0,0.6862028816772252,,0.6862028816772252,0.6862028816772252,0.6862028816772252,0.6862028816772252,0.6862028816772252,1.0,0.3745302507466377,,0.3745302507466377,0.3745302507466377,0.3745302507466377,0.3745302507466377,0.3745302507466377,1.0,0.5415656246742167,,0.5415656246742167,0.5415656246742167,0.5415656246742167,0.5415656246742167,0.5415656246742167
17.0,0.023814304535877812,0.04570926023698743,-0.07129625481132074,0.010030802616519452,0.02925430179551114,0.045885864784047214,0.09626808850511814,17.0,-0.03469790112238649,0.290313845851397,-0.6310212547395313,-0.25822637431107864,0.0,0.1322943897477149,0.533158583950538,17.0,-0.1910704588578864,0.5923176695368458,-1.580248904823791,-0.28550308326278184,-0.1374066396768754,0.06469646990984756,1.1901794821936003,17.0,-0.046364879869703154,0.25354326053798526,-0.5679700554052793,-0.21813807715293088,0.0,0.07971769316109878,0.44542581450401464
2.0,0.10541782779774955,0.0103375367732587,0.09810808544461302,0.10176295662118129,0.10541782779774955,0.10907269897431782,0.11272757015088608,2.0,0.3658157913266793,1.653104209850163,-0.8031054054664004,-0.21864480706986056,0.3658157913266793,0.9502763897232192,1.534736988119759,2.0,-0.23666465565187078,0.7511424579897071,-0.7678025813335241,-0.5022336184926974,-0.23666465565187078,0.02890430718895587,0.2944732700297825,2.0,0.325278491537496,1.6789452069164812,-0.861915049513799,-0.2683182789881515,0.325278491537496,0.9188752620631435,1.512472032588791
1.0,0.002028538641114963,,0.002028538641114963,0.002028538641114963,0.002028538641114963,0.002028538641114963,0.002028538641114963,1.0,0.16152856975639196,,0.16152856975639196,0.16152856975639196,0.16152856975639196,0.16152856975639196,0.16152856975639196,1.0,-0.9187169360566187,,-0.9187169360566187,-0.9187169360566187,-0.9187169360566187,-0.9187169360566187,-0.9187169360566187,1.0,0.15816582491508768,,0.15816582491508768,0.15816582491508768,0.15816582491508768,0.15816582491508768,0.15816582491508768
19.0,0.011013362601227521,0.054833890325037715,-0.11760709218330767,-0.02039680147905898,0.006729172376227055,0.04502067224835127,0.10222575948515811,19.0,-0.06165723624497709,0.8672060825502561,-1.8378896448940374,0.0,0.0,0.0,2.235731154978846,19.0,-0.005657341082060572,0.15512005321536163,-0.2988517823557455,-0.08953703251898926,-0.05753154320023057,0.08880554854805656,0.2825307663554,19.0,-0.006808647799782887,0.33198200458409427,-0.5703656301245541,0.0,0.0,0.0,0.9761944550291393
13.0,0.04852721520451416,0.07699954655399695,-0.1329569045741401,0.009441839754508408,0.06809708649851665,0.08989319337550228,0.1566630609360633,13.0,0.023310528644855184,0.205003814425624,-0.35274586947227604,-0.09041371166792267,-0.007512194987178589,0.15043473023442644,0.34669465424567925,13.0,0.3386677121501996,0.5374492900836148,-0.42651946310106226,0.11865245789786272,0.23547798353657434,0.2797364086993799,1.6520575696548558,13.0,0.1868705312703674,0.27547876764099627,-0.3512105381104309,0.08728054376796202,0.18706079393249553,0.25469826600947876,0.7856490638330058
16.0,-0.0021750659854387067,0.03373303957714766,-0.0582127028513284,-0.01539497896433284,-0.006622885532291178,0.008803611804739209,0.05773094514323418,16.0,-0.036547345623004435,0.31871877238087654,-0.5289736516723949,-0.1650555212426994,-0.08471570675809126,0.07872281921374213,0.8039737915154248,16.0,-0.11262147035685299,0.29492729852310484,-0.6294873941010639,-0.2863364565433417,-0.15841740077408684,0.011802288988005394,0.5452480238576252,16.0,-0.042806885411069584,0.27079613458612284,-0.5195864652295832,-0.16983603516677537,-0.08838308596005717,0.042050253891722456,0.609046847063043
19.0,0.012499787776141247,0.03706861580467069,-0.05283062241045933,-0.013147257786716438,0.011849286196307318,0.03472076288871673,0.08994592225778852,19.0,-0.14411497057212297,0.7230316012912731,-1.9312371232082484,-0.4977171545347101,0.056805312879975034,0.22490371441769597,1.4967267135445983,19.0,0.0463596339259062,1.791459667862849,-2.796750971518861,-0.29279960095809443,0.01721966874065295,0.44446568610556003,5.551104140347815,19.0,-0.13698762530024966,0.6864744534853974,-1.7377704113361006,-0.47995641728784655,0.06625747614768684,0.2199003009443734,1.4259186339532963
19.0,0.010877258154105382,0.040824242442634696,-0.06104142590199224,-0.020367351431028524,0.00942434579840068,0.03502901492831523,0.10569075673280537,19.0,-0.03497968128167955,0.4699539737004939,-0.9840984800044392,-0.18347990935167946,-0.05513499146879397,0.12781597471515216,1.2627559966731692,19.0,-0.13088995922085242,0.4805834349663915,-1.6120133896053161,-0.20149675300921643,-0.07953981603608362,0.09148541157290557,0.6412195696271814,19.0,-0.03644247406252027,0.4636737058500597,-0.9753683649245186,-0.19614288953365744,-0.048859099535297545,0.1237402076132792,1.2397410769144308
