DATE,CPIAUCSL_PCA
2002-01-01,1.59567
2003-01-01,2.29800
2004-01-01,2.66757
2005-01-01,3.36583
2006-01-01,3.22209
2007-01-01,2.87055
2008-01-01,3.81495
2009-01-01,-0.32036
2010-01-01,1.63657
2011-01-01,3.13965
2012-01-01,2.07319
2013-01-01,1.46597
2014-01-01,1.61546
2015-01-01,0.12114
2016-01-01,1.26736
2017-01-01,2.13144
2018-01-01,2.43900
2019-01-01,1.81326
2020-01-01,1.24919
2021-01-01,4.68219
2022-01-01,7.99169
2023-01-01,4.12827
2024-01-01,.
