"FIPS_y","Agri_2001","Agri_2002","Agri_2003","Agri_2004","Agri_2005","Agri_2006","Agri_2007","Agri_2008","Agri_2009","Agri_2010","Agri_2011","Agri_2012","Agri_2013","Agri_2014","Agri_2015","Agri_2016","Agri_2017","Agri_2018","Agri_2019","Agri_2020","Mini_2001","Mini_2002","Mini_2003","Mini_2004","Mini_2005","Mini_2006","Mini_2007","Mini_2008","Mini_2009","Mini_2010","Mini_2011","Mini_2012","Mini_2013","Mini_2014","Mini_2015","Mini_2016","Mini_2017","Mini_2018","Mini_2019","Mini_2020","Util_2001","Util_2002","Util_2003","Util_2004","Util_2005","Util_2006","Util_2007","Util_2008","Util_2009","Util_2010","Util_2011","Util_2012","Util_2013","Util_2014","Util_2015","Util_2016","Util_2017","Util_2018","Util_2019","Util_2020","Neig_2001","Neig_2002","Neig_2003","Neig_2004","Neig_2005","Neig_2006","Neig_2007","Neig_2008","Neig_2009","Neig_2010","Neig_2011","Neig_2012","Neig_2013","Neig_2014","Neig_2015","Neig_2016","Neig_2017","Neig_2018","Neig_2019","Neig_2020","clusters"
1001,NA,-0.217647659389282,0.793537718080149,0.222677755960236,0.169132882604321,0.176880859272082,-0.335885457835563,-0.711788038267303,0.31203943552463,-0.268382336793053,0.166565829569956,-0.593818973690585,0.476072788770299,-0.444083135978268,0.0708525682725387,0.422692580985236,0.152069263111104,0.117635751377374,-0.0318074453102923,-0.115515143978032,NA,-0.419451350082904,0.191126440026697,0.470578409915118,0.238805289692467,0.342614086724565,0.104178677999288,-0.112814556106247,-0.239915130674238,0.131606230778726,-0.181663249892997,0.276248984469918,0.335187643957356,-0.162153127880105,-0.126220268484451,0.203608661340553,-0.110942486853677,0.342982707449952,-0.0133295278896473,-0.00181499233078064,NA,0.835570199846542,0.0680722177578215,0.505041177804131,-0.239592675747065,0.43651630099132,0.148688853228494,-0.184129738745936,0.185685123456308,0.424977164302606,0.365198636938755,0.41366922374363,-0.195697377449855,-0.0774785536665945,0.197071551142031,0.0271744244391687,-0.224369720819375,-0.00791607693025398,-0.0171882461017621,0.0793787081401653,NA,0.0150090248750274,0.0281270407558054,0.0557106706051727,0.042893867444338,0.0259558378547666,0.00108407024033141,-0.0266301497623154,-0.0303678412504667,0.0214166189011245,0.012472012556735,0.0146895600440189,-0.00454846211579607,-0.0151014440596065,0.00901464955068576,0.0261789030030144,0.00211161776287128,0.000259355544340423,0.000710921242564666,-0.0322022920122969,"A"
1003,NA,0.0186049494298199,0.569641459173289,-0.225624362265291,-0.793444757881655,0.484159958058436,-1.08506960312378,-0.143179009206548,0.586762503926233,0.346798667166968,0.235174933148594,0.0286320225674945,0.652839327035217,-1.06167395811151,-0.0963080128376941,0.184847215888986,0.444348076694984,0.176683110907954,0.00842722565092835,0.713600496998163,NA,-0.205714216767284,0.0434899618472269,0.0648521995652054,0.328242220461689,0.136968801227763,-0.0739597691152873,-0.340991423097305,-0.0440407137496859,0.0869690276157602,0.111916820078733,0.161076703718727,-0.120988067009932,-0.123894107250701,-0.0771857244061422,0.491878291624191,-0.142323261880644,0.00186097858443546,-0.0598029308507471,-0.124310617600639,NA,0.118835048501328,-0.0321797500075451,0.105002761329017,-0.00620435268029773,-0.000668879137901257,0.0309634809556876,0.0970325208002816,-0.105803407750383,0.0568003778870754,0.0641490464626244,-0.000758573026715226,0.0390455760909116,-0.00689241980724908,0.0139508196976657,0.155142800764782,-0.0128209239237922,0.0380867156625762,0.0350753651030047,0.155239924382014,NA,0.00944900299961304,0.0218439644548027,0.0479190092912276,0.0486374575637569,0.0439351399995864,0.00960018898431159,-0.022386823831436,-0.02476757240591,0.00517969381759542,0.009863952759396,-0.00474116637177247,0.01894656462839,0.000762156289447091,0.013241849748006,0.0231714362149376,0.0162322853708829,0.0113929324804118,0.0194558602335348,-0.0236175934481899,"A"
1005,NA,0.0166896340947496,-0.234178855161385,0.342320181467983,-0.0173411950277007,-0.0921089074032722,NA,NA,NA,NA,-0.726005265369292,0.145993708183267,0.706276425774824,-0.373712310774733,0.190494206468275,-0.0310403069774026,-0.0423979646411645,0.0915483734094309,-0.189962721877746,-0.574817178516719,NA,-0.584096163366011,0.118722390739405,0.175283271410445,-0.118723327216026,-0.0248216154660312,NA,NA,NA,NA,0.118292694017779,0.0330192780019374,-0.00163413106896115,0.0119800850081546,-0.152697344664706,0.106758443306131,0.0721444885833424,-0.13471186886389,-0.00424876716966516,-0.429118854929602,NA,0.00580429598432453,-0.160627871098239,-0.011391201682077,-0.472554768087958,0.107768669298773,NA,NA,NA,NA,0.035145937261559,-0.0354099636657317,0.0959821099488725,-0.0678625795458192,0.0567660961289054,0.0546351873607378,-0.17117581743921,0.0307303617792947,0.143541255873634,-0.0391062377367515,NA,0.0193030041701032,0.015759863460751,0.0652533068554941,0.0530159565131356,0.02364142410587,NA,NA,NA,NA,0.026274164260256,-0.00796002515180128,0.028105292266174,-0.0255993389060443,0.00247861274963235,0.00544595874101717,0.00701552872506461,-0.0103051687393414,0.00654389528869004,-0.0338861660567691,"A"
1007,NA,0.122285507072167,NA,-0.144149858412371,6.42570281339516e-05,0.187150419644984,NA,-0.207270516850061,NA,NA,-0.118463461153503,-0.0159205862303153,0.122645584979271,-0.326479215843024,NA,-0.438365271700343,0.0124647506199871,-0.306055541301394,-0.0795489788162058,0.182976830911658,NA,-0.978937616182288,NA,0.551457535426827,0.937223160437384,-0.214650072550443,NA,0.780720555593181,NA,NA,0.159918928494918,-0.209751975545306,-0.389594049244128,0.0533738654002232,NA,-0.71385128612421,0.98683776585685,-0.0148798333544313,-2.13140267838208,-0.0151315748689091,NA,0.115269418916068,NA,-0.0131358616145221,-0.440448494837841,-0.0279696899626982,NA,-0.0482170031709206,NA,NA,0.124305941477817,-0.0779010801498226,0.0144060114435147,-0.0639824580498027,NA,0.203899852921583,-0.0119886762985129,0.0340239004221967,0.168028306823886,0.288645618375051,NA,0.0358097925911984,NA,0.0782393001747721,0.0393509964740382,-0.00110396426921966,NA,0.00781700452077416,NA,NA,-0.00939737494756443,0.00443604643306372,-0.00235923901801982,-0.00879353649085957,NA,0.0217496207403229,0.0205921726774143,0.0155187491705604,0.0163784747063467,-0.0441281640673061,"A"
1009,NA,-0.266097350136407,0.335147453524437,NA,NA,NA,NA,-0.934143708993304,0.328392834918022,-0.0782914451820584,-1.62735331133477,-0.289713667952464,2.13649573472355,NA,0.64320299502033,-0.398115816133592,0.353330884700441,0.137088619742396,-0.48199228889767,-1.14719428574801,NA,-0.333351622448895,0.814969062293271,NA,NA,NA,NA,-0.70753871638507,-1.19973758053318,1.38970207232831,0.416580808544994,-0.0981123506450707,-1.34656627289683,NA,-1.15665024520259,0.170978367715073,-0.00669713309828257,0.159459887650693,-0.0387624848225876,0.0588714377453012,NA,-0.127452346548141,-0.0181287044118204,NA,NA,NA,NA,-0.021836874829928,-0.0804182381146923,-0.122984528275984,0.145913009481712,-0.0183005348139016,0.0204456911602904,NA,0.0694372171952171,0.0775449731534277,0.00839223019833035,-0.000203852818971839,0.01637889208404,0.0661542428334965,NA,0.0245336449335554,0.0131550785827059,NA,NA,NA,NA,0.0493201895691442,-0.0425935815253382,0.00545430227975174,0.0193153060355584,0.0161049678993876,-0.00744594299774448,NA,-0.00211827168268997,0.00637064853275859,0.0156664590328113,0.0164339557217765,-0.000152537117433127,-0.049336529416383,"A"
1011,NA,0.232875255908096,-0.0854152074568084,-0.144817107964737,-0.177681875505154,0.387275351482767,-0.973861716165759,NA,1.04131097345368,-0.28783452309618,-0.0766561630849854,0.491663778779289,-0.476768408958062,-0.554197619818382,0.164992814604405,NA,NA,NA,0.490377848440872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000989119764124524,-0.146681527033689,0.110185718812653,-0.0951307547330344,0.0678457049561967,0.022917669681398,NA,-0.199041402129124,0.241879899729854,-0.0227027338215109,-0.0863922032228146,0.0364658904744353,-0.0247058752777889,0.068303854034804,NA,NA,NA,0.229925983549961,NA,NA,0.0120082687732648,0.0191483599206599,0.046854724377269,0.0412302235784345,0.0225670168159517,-0.0041005534250047,NA,-0.045324898748774,0.0163679942475454,-0.000834769024717019,-0.00109195052031197,0.00789426723148878,-0.0108924928298961,0.00627925460429424,NA,NA,NA,0.0302778541504232,NA,NA
1013,NA,0.0148231360069317,0.0388671606524476,0.0584983290485628,-0.369640410289314,-0.891821299407999,1.27340784188108,-0.318896242705414,0.220442164612171,0.0111208939160949,-1.3707346524084,0.523675959157961,0.827902529668473,0.120909582083497,0.411572190757179,-0.288448688469478,0.137026936320472,0.0391121770117699,-0.370155480454683,-1.16430565310878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0344119975977275,-0.0530473633016424,0.0184985948632441,-0.032247408519126,-0.126473036606441,-0.102194999329871,0.0229935535987895,-0.0846951934011599,-0.00872539678320727,0.138377698494086,-0.0759728102872366,0.114536117871019,-0.00496040700288525,0.00910185924274742,0.131761427860042,-0.05528326231628,0.0704937325564909,0.115477955064691,0.120130470500746,NA,-0.00795799497532812,0.00956570465183582,0.100015673039918,0.0400766082758732,0.0388945437009767,-0.026856295771104,-0.0432575476896666,-0.0122330437830485,0.0348761167923435,-0.0200522494841575,0.0142946228903966,0.0366380250932181,-0.0311216786699191,0.00646056381857996,0.0079356262196626,0.0180504483126924,-0.00511864550286312,-0.0452880877467798,-0.056647204767426,NA
1015,NA,-0.48313896533811,0.242333857087864,0.221987091878235,0.580074959157054,-0.902272249092073,-0.342385346077295,0.215410608424939,0.924327255329855,-0.00541078062788891,-1.4576539751742,1.23233788747547,0.269766539774665,-0.0742477009248788,0.320346172777215,-0.512397235818662,0.182033034340517,0.0143251079442965,-0.34807224851879,-0.839402680774919,NA,-0.248829505954959,0.353556508762964,-0.362667879336344,-0.319701093451018,0.0114073233244714,0.120877289007044,-0.323409142646488,-0.0454147198557759,-0.100158703101789,-0.287945472953765,-0.0328483656910228,-0.164549387048156,-0.138372236662163,-0.37975425698233,0.280653116775458,0.0986096189386822,-0.0411498096354679,0.0332524339405165,-0.19228179849901,NA,0.00735337481947873,0.00775752947673247,-0.00218331870177302,0.0323379563849286,-0.0431356738813342,0.11919740521822,-0.121600661693481,-0.0564975852719662,0.109506520822981,0.00116621111270021,-0.0548042237190458,-0.0065329210416234,-0.114298531970928,0.00735173030818181,0.20565104287413,-0.0401423183691172,0.0263749862347922,0.0648372926199219,-0.101340798144962,NA,0.0278245118874061,0.0415542546634313,0.0878865114909608,0.0479237405987547,-0.000660356902059789,0.00326631431221358,-0.0107450192587741,-0.0803841386348338,0.0474305415558085,-0.00427526462750905,0.0266962104856283,0.00396848185788912,-0.0166841036935601,0.0056230656137366,0.00508866049377943,0.010084155866867,0.0163643848063941,0.00059863138161731,-0.0457829585263418,"A"
1017,NA,NA,NA,0.109225201631803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356580629525849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0779124094993406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744776775157169,NA,NA,NA,0.103867368265549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218250005391216,NA
1019,NA,-0.686588156983639,0.304894622323229,0.204474408870606,-0.17138249649483,-0.123838546293371,NA,NA,0.686202881677225,-0.251303685584597,0.293946851266318,-0.47327569452673,0.652080152486944,-0.376413294329984,0.536124114678994,-0.0231233185852044,0.134302092072385,0.254085299545785,-0.148234647865403,-0.992399049581939,NA,-0.27835282920911,0.120856493664308,0.022832452541989,-0.219772063780249,0.12474623742918,NA,NA,0.180332350026921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0300639698255178,0.192608277467457,0.0273086251977013,-0.0724541150212534,-0.147566710740907,NA,NA,0.311152144491519,-0.10009548046089,-0.0116811891970148,-0.053244514518811,0.367082166531619,-0.21624670503698,0.0396691176870068,0.0199146824681904,0.0321465200752211,0.173735990930187,-0.0208845815792493,0.100972842566113,NA,-0.0223630569719795,0.0184797004220698,0.0602891268269481,0.01473871488189,0.00110999329671913,NA,NA,-0.0438187937176053,0.0188409690293945,-0.0258101743024888,-0.00750588082831172,0.00436393507487765,4.86652442930335e-05,0.0156732052872961,0.0084789745915117,0.00416557773329274,0.00973920921987315,-0.0032530657892984,-0.0575231328291501,"A"
